"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 16:36:06 UTC 2023","Tue Dec 19 16:36:10 UTC 2023","3839","","Transaction","","","","TC_13: Request payment notification",""
"passed","Tue Dec 19 16:35:56 UTC 2023","Tue Dec 19 16:35:59 UTC 2023","3039","","Transaction feed","","","","TC_10: ""Request Payment""",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:59 UTC 2023","25542","","Transaction","","","","TC_11: Comment notification",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:52 UTC 2023","18744","","Transaction feed","","","","""before all"" hook for Transaction feed",""
"passed","Tue Dec 19 16:35:52 UTC 2023","Tue Dec 19 16:35:55 UTC 2023","3240","","Bank account","","","","TC_19: Add a bank account with ""Account Number"" containing 8 characters",""
"passed","Tue Dec 19 16:36:10 UTC 2023","Tue Dec 19 16:36:14 UTC 2023","4078","","Transaction","","","","TC_14: Receive payment notification",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:42 UTC 2023","8711","","Account settings","","","","""before each"" hook for Account settings",""
"passed","Tue Dec 19 16:35:55 UTC 2023","Tue Dec 19 16:35:57 UTC 2023","1424","","Bank account","","","","""before each"" hook for Bank account",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:44 UTC 2023","10410","","Login","","","","TC_1: Login with valid credentials",""
"passed","Tue Dec 19 16:35:46 UTC 2023","Tue Dec 19 16:35:52 UTC 2023","5634","","Bank account","","","","TC_18: Add a bank account with empty ""Bank Name"" field",""
"passed","Tue Dec 19 16:35:59 UTC 2023","Tue Dec 19 16:35:59 UTC 2023","70","","Bank account","","","","""after each"" hook for Bank account",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:43 UTC 2023","9865","","Sign-Up","","","","TC_4:Sign-Up with ""Password"" containing 3 characters",""
"broken","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:36:11 UTC 2023","38100","","Filter amount","","","","""before all"" hook for Filter amount",""
"passed","Tue Dec 19 16:35:43 UTC 2023","Tue Dec 19 16:35:52 UTC 2023","9251","","Sign-Up","","","","TC_5: Valid Sign-up",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:46 UTC 2023","12775","","Bank account","","","","TC_17: Add a bank account",""
"passed","Tue Dec 19 16:35:52 UTC 2023","Tue Dec 19 16:35:56 UTC 2023","3970","","Transaction feed","","","","TC_9: [Send Payment] New transaction creation",""
"passed","Tue Dec 19 16:36:14 UTC 2023","Tue Dec 19 16:36:14 UTC 2023","32","","Transaction","","","","""after each"" hook for Transaction",""
"passed","Tue Dec 19 16:35:59 UTC 2023","Tue Dec 19 16:36:06 UTC 2023","7118","","Transaction","","","","TC_12: Like notification",""
"passed","Tue Dec 19 16:36:10 UTC 2023","Tue Dec 19 16:36:11 UTC 2023","763","","Transaction","","","","""before each"" hook for Transaction",""
"passed","Tue Dec 19 16:35:59 UTC 2023","Tue Dec 19 16:35:59 UTC 2023","81","","Transaction feed","","","","""after all"" hook for Transaction feed",""
"passed","Tue Dec 19 16:35:44 UTC 2023","Tue Dec 19 16:35:49 UTC 2023","5776","","Login","","","","TC_2: Logout",""
"passed","Tue Dec 19 16:35:33 UTC 2023","Tue Dec 19 16:35:50 UTC 2023","16949","","Account settings","","","","TC_15: Invalid email format",""
"passed","Tue Dec 19 16:35:49 UTC 2023","Tue Dec 19 16:35:53 UTC 2023","3521","","Login","","","","TC_3:Login with invalid password ",""
"passed","Tue Dec 19 16:35:55 UTC 2023","Tue Dec 19 16:35:59 UTC 2023","3589","","Bank account","","","","TC_20: Delete a bank account",""
